WORK_ID,NAME,ARTIST_ID,STYLE,MUSEUM_ID,IMAGE_LINK
953,Wheatfield with a Reaper,677,Post-Impressionism,57,"<a href=""https://classic-paintings.blogspot.com/2022/02/677.html?id=953"" target=""_blank"">show image</a>"
955,Wheatfield with Crows,677,Post-Impressionism,57,"<a href=""https://classic-paintings.blogspot.com/2022/02/677.html?id=955"" target=""_blank"">show image</a>"
956,Wheatfield with Cypresses at the Haute Galline,677,Post-Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/677.html?id=956"" target=""_blank"">show image</a>"
960,Women Picking Olives,677,Post-Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/677.html?id=960"" target=""_blank"">show image</a>"
1364,A Lady Writing a Letter,574,Baroque,46,"<a href=""https://classic-paintings.blogspot.com/2022/02/574.html?id=1364"" target=""_blank"">show image</a>"
1366,A Maid Asleep,574,Baroque,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/574.html?id=1366"" target=""_blank"">show image</a>"
1376,Girl with a Flute,574,Baroque,43,"<a href=""https://classic-paintings.blogspot.com/2022/02/574.html?id=1376"" target=""_blank"">show image</a>"
1380,Girl with a Red Hat,574,Baroque,46,"<a href=""https://classic-paintings.blogspot.com/2022/02/574.html?id=1380"" target=""_blank"">show image</a>"
1382,Head of a Girl,574,Baroque,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/574.html?id=1382"" target=""_blank"">show image</a>"
1384,Lady Seated at a Virginal,574,Baroque,43,"<a href=""https://classic-paintings.blogspot.com/2022/02/574.html?id=1384"" target=""_blank"">show image</a>"
1392,The Allegory of Faith,574,Baroque,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/574.html?id=1392"" target=""_blank"">show image</a>"
1396,The Astronomer,574,Baroque,40,"<a href=""https://classic-paintings.blogspot.com/2022/02/574.html?id=1396"" target=""_blank"">show image</a>"
1398,The Concert,574,Baroque,43,"<a href=""https://classic-paintings.blogspot.com/2022/02/574.html?id=1398"" target=""_blank"">show image</a>"
1400,The Geographer,574,Baroque,43,"<a href=""https://classic-paintings.blogspot.com/2022/02/574.html?id=1400"" target=""_blank"">show image</a>"
1402,The Glass of Wine,574,Baroque,43,"<a href=""https://classic-paintings.blogspot.com/2022/02/574.html?id=1402"" target=""_blank"">show image</a>"
1406,The Lacemaker,574,Baroque,40,"<a href=""https://classic-paintings.blogspot.com/2022/02/574.html?id=1406"" target=""_blank"">show image</a>"
1408,The Love Letter,574,Baroque,43,"<a href=""https://classic-paintings.blogspot.com/2022/02/574.html?id=1408"" target=""_blank"">show image</a>"
1410,The Milkmaid,574,Baroque,43,"<a href=""https://classic-paintings.blogspot.com/2022/02/574.html?id=1410"" target=""_blank"">show image</a>"
1414,View of Houses in Delft,574,Baroque,43,"<a href=""https://classic-paintings.blogspot.com/2022/02/574.html?id=1414"" target=""_blank"">show image</a>"
1416,Woman Holding a Balance,574,Baroque,46,"<a href=""https://classic-paintings.blogspot.com/2022/02/574.html?id=1416"" target=""_blank"">show image</a>"
1418,Woman in Blue Reading a Letter,574,Baroque,43,"<a href=""https://classic-paintings.blogspot.com/2022/02/574.html?id=1418"" target=""_blank"">show image</a>"
1420,Woman with a Lute Near a Window,574,Baroque,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/574.html?id=1420"" target=""_blank"">show image</a>"
1424,Young Woman Standing at a Virginal,574,Baroque,47,"<a href=""https://classic-paintings.blogspot.com/2022/02/574.html?id=1424"" target=""_blank"">show image</a>"
1426,Young Woman with a Water Pitcher,574,Baroque,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/574.html?id=1426"" target=""_blank"">show image</a>"
1431,A Modern Olympia,872,Impressionism,49,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1431"" target=""_blank"">show image</a>"
1433,An Old Woman with a Rosary,872,Impressionism,47,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1433"" target=""_blank"">show image</a>"
1439,Apples,872,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1439"" target=""_blank"">show image</a>"
1443,Avenue at Chantilly,872,Impressionism,47,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1443"" target=""_blank"">show image</a>"
1445,Bathers,872,Impressionism,47,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1445"" target=""_blank"">show image</a>"
1447,Bathers,872,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1447"" target=""_blank"">show image</a>"
1449,Bathers at Rest,872,Impressionism,51,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1449"" target=""_blank"">show image</a>"
1451,Bay of l'Estaque,872,Impressionism,67,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1451"" target=""_blank"">show image</a>"
1455,Boy in a Red Vest,872,Impressionism,51,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1455"" target=""_blank"">show image</a>"
1459,Boy With a Straw Hat,872,Impressionism,60,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1459"" target=""_blank"">show image</a>"
1463,Chateau Noir,872,Impressionism,40,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1463"" target=""_blank"">show image</a>"
1465,"Compotier, Pitcher, and Fruit",872,Impressionism,51,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1465"" target=""_blank"">show image</a>"
1467,"Containers, Fruit, Dishcloth",872,Impressionism,34,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1467"" target=""_blank"">show image</a>"
1469,Dahlias,872,Impressionism,49,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1469"" target=""_blank"">show image</a>"
1471,Dish of Apples,872,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1471"" target=""_blank"">show image</a>"
1475,Flowers in a Small Deflt Vase,872,Impressionism,49,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1475"" target=""_blank"">show image</a>"
1479,Gardanne,872,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1479"" target=""_blank"">show image</a>"
1481,Gardanne,872,Impressionism,51,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1481"" target=""_blank"">show image</a>"
1483,Ginger Jar and Fruit,872,Impressionism,51,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1483"" target=""_blank"">show image</a>"
1485,Group of Bathers,872,Impressionism,67,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1485"" target=""_blank"">show image</a>"
1487,Gustave Boyer in a Straw Hat,872,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1487"" target=""_blank"">show image</a>"
1489,Hillside in Provence,872,Impressionism,47,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1489"" target=""_blank"">show image</a>"
1495,Landscape with Poplars,872,Impressionism,47,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1495"" target=""_blank"">show image</a>"
1499,L'Estaque,872,Impressionism,49,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1499"" target=""_blank"">show image</a>"
1501,Madame Cézanne in the Conservatory,872,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1501"" target=""_blank"">show image</a>"
1503,Madame Cézanne in a Red Dress,872,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1503"" target=""_blank"">show image</a>"
1509,Mardi Gras,872,Impressionism,31,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1509"" target=""_blank"">show image</a>"
1511,Melting Snow at Fontainebleau,872,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1511"" target=""_blank"">show image</a>"
1513,Millstone in the Park of the Chateau Noir,872,Impressionism,67,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1513"" target=""_blank"">show image</a>"
1515,Mont Sainte-Victoire,872,Impressionism,67,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1515"" target=""_blank"">show image</a>"
1519,Mont Sainte-Victoire,872,Impressionism,34,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1519"" target=""_blank"">show image</a>"
1521,Nudes in Landscape,872,Impressionism,51,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1521"" target=""_blank"">show image</a>"
1525,The Peasant,872,Impressionism,46,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1525"" target=""_blank"">show image</a>"
1527,Portrait of Anthony Valabregue,872,Impressionism,55,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1527"" target=""_blank"">show image</a>"
1529,Portrait of Antonin Valabregue,872,Impressionism,46,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1529"" target=""_blank"">show image</a>"
1531,Portrait of Louis Guillaume,872,Impressionism,46,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1531"" target=""_blank"">show image</a>"
1533,Portrait of Madame Cézanne,872,Impressionism,67,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1533"" target=""_blank"">show image</a>"
1535,Portrait of Madame Cézanne,872,Impressionism,67,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1535"" target=""_blank"">show image</a>"
1537,Portrait of the Artist's Father,872,Impressionism,46,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1537"" target=""_blank"">show image</a>"
1539,"Quartier Four, Auvers-sur-Oise (Landscape, Auvers)",872,Impressionism,67,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1539"" target=""_blank"">show image</a>"
1543,Self-Portrait,872,Impressionism,49,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1543"" target=""_blank"">show image</a>"
1546,Self-Portrait with Hat,872,Impressionism,34,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1546"" target=""_blank"">show image</a>"
1552,Still Life with a Ginger Jar and Eggplants,872,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1552"" target=""_blank"">show image</a>"
1554,Still Life with Apples,872,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1554"" target=""_blank"">show image</a>"
1556,Still Life with Apples and a Glass of Wine,872,Impressionism,67,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1556"" target=""_blank"">show image</a>"
1560,Still Life with Apples and Pears,872,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1560"" target=""_blank"">show image</a>"
1562,Still Life with Curtain and Flowered Pitcher,872,Impressionism,34,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1562"" target=""_blank"">show image</a>"
1564,Still Life with Green Pot and Pewter Jug,872,Impressionism,49,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1564"" target=""_blank"">show image</a>"
1566,"Still Life with Jar, Cup, and Apples",872,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1566"" target=""_blank"">show image</a>"
1570,Still Life with Plate of Cherries,872,Impressionism,60,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1570"" target=""_blank"">show image</a>"
1572,"Study, Landscape at Auvers",872,Impressionism,67,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1572"" target=""_blank"">show image</a>"
1574,"Table, Napkin, and Fruit",872,Impressionism,51,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1574"" target=""_blank"">show image</a>"
1576,The Bathers,872,Impressionism,49,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1576"" target=""_blank"">show image</a>"
1578,The Blue Vase,872,Impressionism,49,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1578"" target=""_blank"">show image</a>"
1580,The Bridge at Maincy,872,Impressionism,49,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1580"" target=""_blank"">show image</a>"
1582,The Card Players,872,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1582"" target=""_blank"">show image</a>"
1584,The Card Players,872,Impressionism,51,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1584"" target=""_blank"">show image</a>"
1586,The Card Players,872,Impressionism,40,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1586"" target=""_blank"">show image</a>"
1590,The Eternal Feminine,872,Impressionism,55,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1590"" target=""_blank"">show image</a>"
1592,"The Fishermen, Fantastic Scene",872,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1592"" target=""_blank"">show image</a>"
1594,The Grounds of the Chateau Noir,872,Impressionism,47,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1594"" target=""_blank"">show image</a>"
1596,The Gulf of Marseilles,872,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1596"" target=""_blank"">show image</a>"
1598,The House of Pere Lacroix at Auvers,872,Impressionism,46,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1598"" target=""_blank"">show image</a>"
1600,The House with the Cracked Walls,872,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1600"" target=""_blank"">show image</a>"
1602,The Large Bathers,872,Impressionism,67,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1602"" target=""_blank"">show image</a>"
1604,"The Painter's Father, Louis-Auguste Cézanne",872,Impressionism,47,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1604"" target=""_blank"">show image</a>"
1608,The Pool at the Jas de Bouffan,872,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1608"" target=""_blank"">show image</a>"
1610,The Smoker,872,Impressionism,34,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1610"" target=""_blank"">show image</a>"
1618,View of the Domaine Saint-Joseph,872,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1618"" target=""_blank"">show image</a>"
1622,"Well, Millstone and Cistern Under Trees",872,Impressionism,51,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1622"" target=""_blank"">show image</a>"
1624,Woman with a Coffee Pot,872,Impressionism,49,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1624"" target=""_blank"">show image</a>"
1626,Young Italian Woman at a Table,872,Impressionism,55,"<a href=""https://classic-paintings.blogspot.com/2022/02/872.html?id=1626"" target=""_blank"">show image</a>"
1942,Ginevra de Benci,815,Renaissance,40,"<a href=""https://classic-paintings.blogspot.com/2022/02/815.html?id=1942"" target=""_blank"">show image</a>"
1944,Hahn's La Belle Ferroniere,815,Renaissance,40,"<a href=""https://classic-paintings.blogspot.com/2022/02/815.html?id=1944"" target=""_blank"">show image</a>"
1948,Leda and a Swan,815,Renaissance,40,"<a href=""https://classic-paintings.blogspot.com/2022/02/815.html?id=1948"" target=""_blank"">show image</a>"
1950,Mona Lisa (La Gioconda),815,Renaissance,40,"<a href=""https://classic-paintings.blogspot.com/2022/02/815.html?id=1950"" target=""_blank"">show image</a>"
1952,Mona Lisa or The Joconde,815,Renaissance,50,"<a href=""https://classic-paintings.blogspot.com/2022/02/815.html?id=1952"" target=""_blank"">show image</a>"
1954,Narcissus,815,Renaissance,47,"<a href=""https://classic-paintings.blogspot.com/2022/02/815.html?id=1954"" target=""_blank"">show image</a>"
1956,Saint John the Baptist,815,Renaissance,40,"<a href=""https://classic-paintings.blogspot.com/2022/02/815.html?id=1956"" target=""_blank"">show image</a>"
1958,The Lady with an Ermine,815,Renaissance,40,"<a href=""https://classic-paintings.blogspot.com/2022/02/815.html?id=1958"" target=""_blank"">show image</a>"
1964,The Madonna and Child,815,Renaissance,34,"<a href=""https://classic-paintings.blogspot.com/2022/02/815.html?id=1964"" target=""_blank"">show image</a>"
1966,The Virgin and Child,815,Renaissance,47,"<a href=""https://classic-paintings.blogspot.com/2022/02/815.html?id=1966"" target=""_blank"">show image</a>"
1968,The Virgin and the Child with St. Anne,815,Renaissance,40,"<a href=""https://classic-paintings.blogspot.com/2022/02/815.html?id=1968"" target=""_blank"">show image</a>"
1970,Tobias and the Angel,815,Renaissance,46,"<a href=""https://classic-paintings.blogspot.com/2022/02/815.html?id=1970"" target=""_blank"">show image</a>"
2020,A Row of Poplars,550,Impressionism,67,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2020"" target=""_blank"">show image</a>"
2024,Antibes Seen from the Salis Gardens,550,Impressionism,59,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2024"" target=""_blank"">show image</a>"
2032,"Arrival of the Normandy Train, Gare Saint-Lazare",550,Impressionism,68,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2032"" target=""_blank"">show image</a>"
2040,Bathing at La Grenouillère,550,Impressionism,47,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2040"" target=""_blank"">show image</a>"
2044,Bend in the Epte River near Giverny,550,Impressionism,67,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2044"" target=""_blank"">show image</a>"
2050,Blue Water Lilies,550,Impressionism,49,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2050"" target=""_blank"">show image</a>"
2052,Boats on the Beach at Ã‰tretat,550,Impressionism,68,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2052"" target=""_blank"">show image</a>"
2054,Bordighera,550,Impressionism,68,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2054"" target=""_blank"">show image</a>"
2056,Boulevard des Capucines,550,Impressionism,39,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2056"" target=""_blank"">show image</a>"
2060,Bouquet of Sunflowers,550,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2060"" target=""_blank"">show image</a>"
2062,Bridge at Argenteuil on a Gray Day,550,Impressionism,46,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2062"" target=""_blank"">show image</a>"
2064,Bridge Over a Pond of Water Lilies,550,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2064"" target=""_blank"">show image</a>"
2068,Cabin of the Customs Watch,550,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2068"" target=""_blank"">show image</a>"
2074,Camille Monet in the Garden at Argenteuil,550,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2074"" target=""_blank"">show image</a>"
2076,Camille Monet on a Garden Bench,550,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2076"" target=""_blank"">show image</a>"
2078,Quarries Saint-Denis,550,Impressionism,49,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2078"" target=""_blank"">show image</a>"
2080,Charing Cross Bridge,550,Impressionism,69,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2080"" target=""_blank"">show image</a>"
2082,Charing Cross Bridge II,550,Impressionism,56,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2082"" target=""_blank"">show image</a>"
2084,"Charing Cross Bridge, Overcast Weather",550,Impressionism,68,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2084"" target=""_blank"">show image</a>"
2092,Chrysanthemums,550,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2092"" target=""_blank"">show image</a>"
2098,Clifftop Walk at Pourville,550,Impressionism,68,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2098"" target=""_blank"">show image</a>"
2100,"Customhouse, Varengeville",550,Impressionism,67,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2100"" target=""_blank"">show image</a>"
2102,Dr. Leclenche,550,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2102"" target=""_blank"">show image</a>"
2104,Entrance to the Port of Trouville,550,Impressionism,52,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2104"" target=""_blank"">show image</a>"
2118,"Field of Poppies, Argenteuil",550,Impressionism,49,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2118"" target=""_blank"">show image</a>"
2122,Fishing Boats Leaving the Port of Le Havre,550,Impressionism,60,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2122"" target=""_blank"">show image</a>"
2132,Four Poplar Trees,550,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2132"" target=""_blank"">show image</a>"
2140,Grainstacks,550,Impressionism,68,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2140"" target=""_blank"">show image</a>"
2142,"Stacks of Wheat (Sunset, Snow Effect)",550,Impressionism,68,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2142"" target=""_blank"">show image</a>"
2144,Stacks of Wheat (End of Summer),550,Impressionism,68,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2144"" target=""_blank"">show image</a>"
2146,"Grainstacks at the End of Summer, Morning Effect",550,Impressionism,68,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2146"" target=""_blank"">show image</a>"
2152,"Grainstacks, White Frost Effect",550,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2152"" target=""_blank"">show image</a>"
2156,"Green Park, London",550,Impressionism,67,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2156"" target=""_blank"">show image</a>"
2160,Haystack at Giverny,550,Impressionism,34,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2160"" target=""_blank"">show image</a>"
2168,Heavy Sea at Pourville,550,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2168"" target=""_blank"">show image</a>"
2170,"Hotel of Roches Noires, Trouville",550,Impressionism,49,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2170"" target=""_blank"">show image</a>"
2174,"Houses of Parliament, Fog Effect",550,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2174"" target=""_blank"">show image</a>"
2178,"Houses of Parliament, London",550,Impressionism,49,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2178"" target=""_blank"">show image</a>"
2180,"Houses of Parliament, Seagulls",550,Impressionism,31,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2180"" target=""_blank"">show image</a>"
2188,"Houses of Parliament, London",550,Impressionism,68,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2188"" target=""_blank"">show image</a>"
2192,Ice Floes,550,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2192"" target=""_blank"">show image</a>"
2194,Ice Flows on the Seine at Bougival,550,Impressionism,40,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2194"" target=""_blank"">show image</a>"
2196,Flower Island Near Vétheuil,550,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2196"" target=""_blank"">show image</a>"
2198,Impression Sunrise,550,Impressionism,72,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2198"" target=""_blank"">show image</a>"
2200,In the Norvegienne,550,Impressionism,49,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2200"" target=""_blank"">show image</a>"
2202,In the Woods at Giverny,550,Impressionism,60,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2202"" target=""_blank"">show image</a>"
2206,The Artist's Garden at Giverny,550,Impressionism,49,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2206"" target=""_blank"">show image</a>"
2208,"Japanese Footbridge, Giverny",550,Impressionism,67,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2208"" target=""_blank"">show image</a>"
2212,Jean Monet on His Mechanical Horse,550,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2212"" target=""_blank"">show image</a>"
2214,Jeanne-Marguerite Lecadre in the Garden,550,Impressionism,34,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2214"" target=""_blank"">show image</a>"
2218,La Grenouillère,550,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2218"" target=""_blank"">show image</a>"
2224,"Lane in the Poppy Field, Ile Saint-Martin",550,Impressionism,35,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2224"" target=""_blank"">show image</a>"
2228,The Boulevard of Capucines,550,Impressionism,49,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2228"" target=""_blank"">show image</a>"
2238,"Madame Monet in a Japanese Costume, La Japonaise",550,Impressionism,42,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2238"" target=""_blank"">show image</a>"
2240,"Manne-Porte, Étretat",550,Impressionism,67,"<a href=""https://classic-paintings.blogspot.com/2022/02/550.html?id=2240"" target=""_blank"">show image</a>"
